City_Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gambo,30,NG,1560102957,29,11.96,9.63,97.0,9.66
1,Rikitea,81,PF,1560102957,76,-23.12,-134.97,72.88,14.29
2,Arraial do Cabo,20,BR,1560102957,73,-22.97,-42.02,77.0,9.17
3,Bluff,0,AU,1560102957,94,-23.58,149.07,59.38,6.38
4,Hermanus,0,ZA,1560102957,76,-34.42,19.24,64.0,7.0
5,Mataura,82,NZ,1560102957,70,-46.19,168.86,49.3,9.51
6,Kodiak,90,US,1560102958,42,39.95,-94.76,77.0,17.22
7,Carutapera,76,BR,1560102958,72,-1.2,-46.02,84.94,6.76
8,Bacolod,100,PH,1560102958,79,10.68,122.95,82.6,4.12
9,Mount Gambier,90,AU,1560102958,93,-37.83,140.78,53.6,18.34
10,San Rafael,0,AR,1560102959,11,-34.61,-68.33,69.1,8.52
11,Hobart,100,AU,1560102959,66,-42.88,147.33,53.6,6.93
12,Lisakovsk,26,KZ,1560102960,54,52.55,62.49,61.18,4.09
13,Rawlins,1,US,1560102673,31,41.79,-107.24,51.01,6.93
14,Cape Town,75,ZA,1560102872,87,-33.93,18.42,64.0,10.29
15,Mar del Plata,45,AR,1560102830,36,-46.43,-67.52,50.02,28.83
16,New Norfolk,100,AU,1560102960,66,-42.78,147.06,53.6,6.93
17,Bredasdorp,0,ZA,1560102960,72,-34.53,20.04,64.4,16.11
18,Iqaluit,90,CA,1560102960,100,63.75,-68.52,35.6,8.05
19,Axim,98,GH,1560102960,78,4.87,-2.24,80.08,7.85
20,Port-Gentil,20,GA,1560102961,88,-0.72,8.78,77.0,12.75
21,Flinders,43,AU,1560102961,76,-34.58,150.85,55.4,9.17
22,Busselton,92,AU,1560102961,63,-33.64,115.35,57.99,39.41
23,Puerto Ayora,20,EC,1560102961,58,-0.74,-90.35,84.2,17.22
24,Kedrovyy,40,RU,1560102961,93,56.17,91.82,59.0,6.71
25,Constitucion,40,MX,1560102961,41,23.99,-104.67,80.01,3.36
26,Young,0,UY,1560102962,68,-32.7,-57.63,71.01,1.01
27,Husavik,94,CA,1560102962,36,50.56,-96.99,63.0,3.0
28,Albany,20,US,1560102962,31,42.65,-73.75,84.0,4.7
29,Muros,40,ES,1560102962,67,42.77,-9.06,64.99,9.17
30,Guaraniacu,0,BR,1560102962,44,-25.1,-52.88,75.2,28.86
31,Dikson,95,RU,1560102963,93,73.51,80.55,30.58,10.36
32,Meulaboh,99,ID,1560102963,74,4.14,96.13,83.68,7.99
33,Salalah,75,OM,1560102963,79,17.01,54.1,86.0,10.29
34,Bam,43,IR,1560102963,19,29.11,58.36,78.46,2.33
35,Zhezkazgan,75,KZ,1560102963,71,47.8,67.71,55.4,8.95
36,Nikolskoye,0,RU,1560102964,48,59.7,30.79,66.2,17.9
37,Rocha,0,UY,1560102964,54,-34.48,-54.34,63.52,9.55
38,Araouane,27,ML,1560102964,14,18.9,-3.53,108.88,2.64
39,Kapaa,40,US,1560102964,78,22.08,-159.32,75.99,4.7
40,Punta Arenas,75,CL,1560102964,67,-53.16,-70.91,39.2,16.11
41,Butaritari,39,KI,1560102965,80,3.07,172.79,83.68,14.67
42,Dalbandin,0,PK,1560102965,11,28.9,64.41,94.66,13.06
43,Vaini,67,IN,1560102965,78,15.34,74.49,83.14,1.77
44,Ambilobe,20,MG,1560102965,82,-13.19,49.05,73.06,3.8
45,Qaanaaq,98,GL,1560102965,72,77.48,-69.36,33.46,3.02
46,Cabo San Lucas,5,MX,1560102726,51,22.89,-109.91,90.0,6.93
47,Avarua,15,CK,1560102936,94,-21.21,-159.78,71.6,2.24
48,Komsomolskiy,99,RU,1560102965,96,67.55,63.78,34.18,13.22
49,Saint George,20,GR,1560102966,45,39.45,22.34,91.4,8.05
50,Sinnamary,98,GF,1560103016,82,5.38,-52.96,81.16,16.15
51,Auki,60,NG,1560103016,33,12.18,6.51,94.48,8.41
52,Ushuaia,75,AR,1560103017,86,-54.81,-68.31,37.4,23.04
53,Severo-Kurilsk,31,RU,1560103017,94,50.68,156.12,38.68,1.07
54,Pokhara,8,NP,1560103017,63,28.21,83.99,56.5,2.04
55,Lorengau,30,PG,1560103017,86,-2.02,147.27,79.9,5.88
56,Chabahar,0,IR,1560103017,79,25.29,60.65,89.6,3.33
57,Yellowknife,75,CA,1560102786,65,62.45,-114.38,41.0,10.29
58,Chuy,0,UY,1560103017,58,-33.69,-53.46,65.32,11.16
59,Longyearbyen,0,NO,1560103018,56,78.22,15.63,41.0,2.24
60,Port Alfred,0,ZA,1560103018,47,-33.59,26.89,66.99,5.01
61,Karratha,0,AU,1560103018,42,-20.74,116.85,63.52,10.45
62,Mahebourg,75,MU,1560102721,78,-20.41,57.7,75.2,6.93
63,Buraydah,0,SA,1560103018,20,26.33,43.97,102.2,3.36
64,Provideniya,6,RU,1560103018,66,64.42,-173.23,52.18,1.14
65,Dibulla,40,CO,1560103018,52,11.27,-73.31,93.2,11.41
66,Hansot,40,IN,1560103019,79,21.59,72.81,86.0,11.41
67,Guerrero Negro,1,MX,1560103019,80,27.97,-114.04,64.96,8.68
68,Yangambi,69,CD,1560103019,66,0.77,24.47,76.3,0.58
69,Wajima,100,JP,1560103019,86,37.4,136.9,66.04,3.0
70,Sao Filipe,1,CV,1560103019,84,14.9,-24.5,74.32,20.49
71,Tuensang,96,IN,1560103019,96,26.24,94.81,72.52,2.71
72,Jamestown,85,AU,1560103020,65,-33.21,138.6,55.96,13.78
73,Port Elizabeth,40,US,1560103020,39,39.31,-74.98,82.99,20.8
74,Cuxhaven,75,DE,1560103020,59,53.87,8.7,68.0,9.17
75,Castro,40,CL,1560103020,87,-42.48,-73.76,46.4,9.17
76,Bonthe,93,SL,1560103021,76,7.53,-12.5,82.78,8.01
77,Narsaq,84,GL,1560103021,18,60.91,-46.05,62.6,29.97
78,Dingle,98,PH,1560103021,79,11.0,122.67,79.36,2.91
79,Cherskiy,5,RU,1560103021,40,68.75,161.3,58.84,7.34
80,Alenquer,40,BR,1560103021,84,-1.95,-54.74,86.0,10.29
81,Mujiayingzi,0,CN,1560103021,68,42.12,118.78,55.06,3.56
82,Leh,7,IN,1560103021,47,34.16,77.58,32.02,5.14
83,Mogadishu,3,SO,1560103022,77,2.04,45.34,79.36,15.88
84,Svetlogorsk,57,RU,1560103022,54,53.14,59.15,59.0,8.95
85,Boguchany,100,RU,1560103022,74,58.38,97.46,57.76,2.46
86,Ponta do Sol,0,BR,1560103022,51,-20.63,-46.0,70.36,5.75
87,San Patricio,1,PY,1560103023,66,-26.98,-56.83,78.46,8.63
88,Bintulu,75,MY,1560102862,94,3.17,113.03,77.0,3.36
89,Vanavara,100,RU,1560103023,64,60.35,102.28,58.66,4.38
90,Ribeira Grande,20,PT,1560103023,56,38.52,-28.7,69.8,5.82
91,Kaitangata,83,NZ,1560103023,61,-46.28,169.85,51.01,14.0
92,Barrow,0,AR,1560103023,34,-38.31,-60.23,68.02,13.47
93,Tasiilaq,10,GL,1560103023,56,65.61,-37.64,44.6,4.7
94,Carnarvon,0,ZA,1560103024,24,-30.97,22.13,61.18,14.92
95,Clyde River,75,CA,1560103024,78,70.47,-68.59,32.0,9.17
96,Banda Aceh,100,ID,1560102990,76,5.56,95.32,84.94,10.58
97,Kostomuksha,78,RU,1560103024,84,64.59,30.6,63.88,8.25
98,Namibe,0,AO,1560103024,76,-15.19,12.15,71.44,8.1
99,Norman Wells,20,CA,1560103024,43,65.28,-126.83,55.4,8.05
100,Tenenkou,73,ML,1560103076,20,14.46,-4.91,105.46,10.11
101,Ilulissat,45,GL,1560103077,80,69.22,-51.1,41.0,4.7
102,Faanui,2,PF,1560103077,74,-16.48,-151.75,82.42,12.03
103,Platanos,20,GR,1560103077,51,35.47,23.6,84.2,16.11
104,Chokurdakh,98,RU,1560103077,34,70.62,147.9,60.46,14.52
105,Tuktoyaktuk,75,CA,1560103077,57,69.44,-133.03,51.8,3.36
106,Emerald,90,AU,1560103077,100,-23.53,148.16,59.0,5.82
107,Nsukka,100,NG,1560103003,85,6.86,7.39,78.46,4.32
108,Kavieng,9,PG,1560103078,77,-2.57,150.8,84.4,10.25
109,Salinopolis,50,BR,1560103078,76,-0.61,-47.36,83.86,14.43
110,Jardim,0,BR,1560103078,43,-21.48,-56.15,83.68,8.7
111,Monrovia,75,LR,1560103078,74,6.33,-10.8,84.2,13.87
